date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:57:12	96610/96610	---MCZ	200	added ('OK')	application/javascript	etag:%226ff9419bce6b9bb5a9e7c91467d4cfe3-ssl-df%22	https://kuon.space/assets/js/parallax.js	C:/My%20Web%20Sites/MoonTest/kuon.space/assets/js/parallax.js	(from https://kuon.space/)
09:57:12	13135/13135	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03d72-334f%22	https://cdnjs.cloudflare.com/ajax/libs/barba.js/1.0.0/barba.min.js	C:/My%20Web%20Sites/MoonTest/cdnjs.cloudflare.com/ajax/libs/barba.js/1.0.0/barba.min.js	(from https://kuon.space/)
09:57:19	8552/8552	---MCZ	200	added ('OK')	application/javascript	etag:%22b8c035b86a5f68d07e0f865295e90d0a-ssl-df%22	https://kuon.space/assets/js/common.min.js	C:/My%20Web%20Sites/MoonTest/kuon.space/assets/js/common.min.js	(from https://kuon.space/)
09:57:20	48536/48536	---MCZ	200	added ('OK')	application/octet-stream	etag:%2292e2d1338f2177212bbd9a940f768d58-ssl-df%22	https://kuon.space/assets/font/Futura-Med.eot	C:/My%20Web%20Sites/MoonTest/kuon.space/assets/font/Futura-Med.eot	(from https://kuon.space/assets/css/common.css)
09:57:21	60400/60400	---MCZ	200	added ('OK')	application/font-woff	etag:%227202671ae3f3aa4e4cc19a974a7b1d92-ssl-df%22	https://kuon.space/assets/font/Futura-Med.woff	C:/My%20Web%20Sites/MoonTest/kuon.space/assets/font/Futura-Med.woff	(from https://kuon.space/assets/css/common.css)
09:57:22	48626/48626	---MCZ	200	added ('OK')	application/octet-stream	etag:%22cd824ec22eea9ce86505707d6648aea9-ssl-df%22	https://kuon.space/assets/font/Futura-Boo.eot	C:/My%20Web%20Sites/MoonTest/kuon.space/assets/font/Futura-Boo.eot	(from https://kuon.space/assets/css/common.css)
09:57:23	62160/62160	---MCZ	200	added ('OK')	application/font-woff	etag:%222f0e96950b3d4bfe1c749e318b6da2ec-ssl-df%22	https://kuon.space/assets/font/Futura-Boo.woff	C:/My%20Web%20Sites/MoonTest/kuon.space/assets/font/Futura-Boo.woff	(from https://kuon.space/assets/css/common.css)
09:57:24	45564/45564	---MCZ	200	added ('OK')	application/octet-stream	etag:%2294f9b58807e034e2aeb879944732a8bd-ssl-df%22	https://kuon.space/assets/font/Futura-Bol.eot	C:/My%20Web%20Sites/MoonTest/kuon.space/assets/font/Futura-Bol.eot	(from https://kuon.space/assets/css/common.css)
09:57:25	54912/54912	---MCZ	200	added ('OK')	application/font-woff	etag:%22fe7e010049f9f5568aad20d526321e0d-ssl-df%22	https://kuon.space/assets/font/Futura-Bol.woff	C:/My%20Web%20Sites/MoonTest/kuon.space/assets/font/Futura-Bol.woff	(from https://kuon.space/assets/css/common.css)
09:57:26	46581/46581	---MCZ	200	added ('OK')	application/octet-stream	etag:%22bc20e274acaae3626f7b1beabff7c28a-ssl-df%22	https://kuon.space/assets/font/Futura-Dem.eot	C:/My%20Web%20Sites/MoonTest/kuon.space/assets/font/Futura-Dem.eot	(from https://kuon.space/assets/css/common.css)
09:57:27	56964/56964	---MCZ	200	added ('OK')	application/font-woff	etag:%22e6a5daf01205ca6bc97e6431cf8c35eb-ssl-df%22	https://kuon.space/assets/font/Futura-Dem.woff	C:/My%20Web%20Sites/MoonTest/kuon.space/assets/font/Futura-Dem.woff	(from https://kuon.space/assets/css/common.css)
09:57:29	189482/189482	---M--	200	added ('OK')	image/jpeg	etag:%22da38fe8f09e6bdec6677863f713292e3-ssl%22	https://kuon.space/assets/img/reile.jpg	C:/My%20Web%20Sites/MoonTest/kuon.space/assets/img/reile.jpg	(from https://kuon.space/assets/css/common.css)
09:57:29	64373/64373	---M--	200	added ('OK')	image/jpeg	etag:%228a3d204adcaa38f2bb4b48da3a95164d-ssl%22	https://kuon.space/assets/img/about.jpg	C:/My%20Web%20Sites/MoonTest/kuon.space/assets/img/about.jpg	(from https://kuon.space/assets/css/common.css)
09:57:30	129690/129690	---M--	200	added ('OK')	image/jpeg	etag:%2207d4ea23ccae643031d28ceb031b8c17-ssl%22	https://kuon.space/assets/img/contact.jpg	C:/My%20Web%20Sites/MoonTest/kuon.space/assets/img/contact.jpg	(from https://kuon.space/assets/css/common.css)
09:57:31	5383/5383	---MCZ	200	added ('OK')	image/svg+xml	etag:%22d0d12a61f86821415e02f2c53063f434-ssl-df%22	https://kuon.space/assets/img/moonlight.svg	C:/My%20Web%20Sites/MoonTest/kuon.space/assets/img/moonlight.svg	(from https://kuon.space/assets/css/common.css)
09:57:32	207401/207401	---M--	200	added ('OK')	image/jpeg	etag:%22878a9aab8c8e8b9b29f32e65bf94a09c-ssl%22	https://kuon.space/assets/img/Perspective.jpg	C:/My%20Web%20Sites/MoonTest/kuon.space/assets/img/Perspective.jpg	(from https://kuon.space/assets/css/common.css)
09:57:33	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1519975376-ssl-df	https://kuon.space/ribbons/awwwards_honorable_black_left.png	C:/My%20Web%20Sites/MoonTest/kuon.space/ribbons/awwwards_honorable_black_left.24.delayed	(from https://kuon.space/awwwards.css)
09:57:34	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1519975376-ssl-df	https://kuon.space/ribbons/awwwards_honorable_black_right.png	C:/My%20Web%20Sites/MoonTest/kuon.space/ribbons/awwwards_honorable_black_right.25.delayed	(from https://kuon.space/awwwards.css)
09:57:35	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1519975376-ssl-df	https://kuon.space/ribbons/awwwards_honorable_silver_left.png	C:/My%20Web%20Sites/MoonTest/kuon.space/ribbons/awwwards_honorable_silver_left.26.delayed	(from https://kuon.space/awwwards.css)
09:57:36	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1519975376-ssl-df	https://kuon.space/ribbons/awwwards_honorable_silver_right.png	C:/My%20Web%20Sites/MoonTest/kuon.space/ribbons/awwwards_honorable_silver_right.27.delayed	(from https://kuon.space/awwwards.css)
09:57:37	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1519975376-ssl-df	https://kuon.space/ribbons/awwwards_honorable_white_left.png	C:/My%20Web%20Sites/MoonTest/kuon.space/ribbons/awwwards_honorable_white_left.28.delayed	(from https://kuon.space/awwwards.css)
09:57:39	11990/11990	---M--	200	added ('OK')	image/png	etag:%2264655539ce0f438ae7d0e7b0ce50aba7-ssl%22	https://kuon.space/ribbons/awwwards_honorable_white_right.png	C:/My%20Web%20Sites/MoonTest/kuon.space/ribbons/awwwards_honorable_white_right.png	(from https://kuon.space/awwwards.css)
09:57:39	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1519975376-ssl-df	https://kuon.space/ribbons/awwwards_honorable_green_left.png	C:/My%20Web%20Sites/MoonTest/kuon.space/ribbons/awwwards_honorable_green_left.2a.delayed	(from https://kuon.space/awwwards.css)
09:57:41	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1519975376-ssl-df	https://kuon.space/ribbons/awwwards_honorable_green_right.png	C:/My%20Web%20Sites/MoonTest/kuon.space/ribbons/awwwards_honorable_green_right.2b.delayed	(from https://kuon.space/awwwards.css)
09:57:41	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1519975376-ssl-df	https://kuon.space/ribbons/awwwards_honorable_black_left@2x.png	C:/My%20Web%20Sites/MoonTest/kuon.space/ribbons/awwwards_honorable_black_left@2x.2c.delayed	(from https://kuon.space/awwwards.css)
09:57:42	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1519975376-ssl-df	https://kuon.space/ribbons/awwwards_honorable_black_right@2x.png	C:/My%20Web%20Sites/MoonTest/kuon.space/ribbons/awwwards_honorable_black_right@2x.2d.delayed	(from https://kuon.space/awwwards.css)
09:57:43	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1519975376-ssl-df	https://kuon.space/ribbons/awwwards_honorable_silver_left@2x.png	C:/My%20Web%20Sites/MoonTest/kuon.space/ribbons/awwwards_honorable_silver_left@2x.2e.delayed	(from https://kuon.space/awwwards.css)
09:57:45	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1519975376-ssl-df	https://kuon.space/ribbons/awwwards_honorable_silver_right@2x.png	C:/My%20Web%20Sites/MoonTest/kuon.space/ribbons/awwwards_honorable_silver_right@2x.2f.delayed	(from https://kuon.space/awwwards.css)
09:57:46	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1519975376-ssl-df	https://kuon.space/ribbons/awwwards_honorable_white_left@2x.png	C:/My%20Web%20Sites/MoonTest/kuon.space/ribbons/awwwards_honorable_white_left@2x.30.delayed	(from https://kuon.space/awwwards.css)
09:57:47	22194/22194	---M--	200	added ('OK')	image/png	etag:%22178f27b0a75759a209ee89bbc161a885-ssl%22	https://kuon.space/ribbons/awwwards_honorable_white_right@2x.png	C:/My%20Web%20Sites/MoonTest/kuon.space/ribbons/awwwards_honorable_white_right@2x.png	(from https://kuon.space/awwwards.css)
09:57:48	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1519975376-ssl-df	https://kuon.space/ribbons/awwwards_honorable_green_left@2x.png	C:/My%20Web%20Sites/MoonTest/kuon.space/ribbons/awwwards_honorable_green_left@2x.32.delayed	(from https://kuon.space/awwwards.css)
09:57:49	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1519975376-ssl-df	https://kuon.space/ribbons/awwwards_honorable_green_right@2x.png	C:/My%20Web%20Sites/MoonTest/kuon.space/ribbons/awwwards_honorable_green_right@2x.33.delayed	(from https://kuon.space/awwwards.css)
09:57:51	238144/238144	---M--	200	added ('OK')	image/png	etag:%22962457167e97f25adedc6b681e81eb07-ssl%22	https://kuon.space/assets/img/mockup.png	C:/My%20Web%20Sites/MoonTest/kuon.space/assets/img/mockup.png	(from https://kuon.space/reile.html)
09:57:51	123361/123361	---M--	200	added ('OK')	image/jpeg	etag:%22f9dadcbe9ef96d76576c8aefdaeb8d69-ssl%22	https://kuon.space/assets/img/reile_top.jpg	C:/My%20Web%20Sites/MoonTest/kuon.space/assets/img/reile_top.jpg	(from https://kuon.space/reile.html)
09:57:52	121494/121494	---M--	200	added ('OK')	image/jpeg	etag:%22e647d849944ca65f5a0888d1262ac429-ssl%22	https://kuon.space/assets/img/reile_about.jpg	C:/My%20Web%20Sites/MoonTest/kuon.space/assets/img/reile_about.jpg	(from https://kuon.space/reile.html)
09:57:53	110994/110994	---M--	200	added ('OK')	image/jpeg	etag:%22fd79ecebfc6644a8d587314963f587f6-ssl%22	https://kuon.space/assets/img/portrait.jpg	C:/My%20Web%20Sites/MoonTest/kuon.space/assets/img/portrait.jpg	(from https://kuon.space/about.html)
09:57:54	7975/7975	---MCZ	200	added ('OK')	image/svg+xml	etag:%2264c1941b7d06fd1a2d93ad66c06d4a9c-ssl-df%22	https://kuon.space/assets/img/design-skills.svg	C:/My%20Web%20Sites/MoonTest/kuon.space/assets/img/design-skills.svg	(from https://kuon.space/about.html)
09:57:55	10613/10613	---MCZ	200	added ('OK')	image/svg+xml	etag:%22ec14c9fb5099658d6154db956f72ffc6-ssl-df%22	https://kuon.space/assets/img/tech.svg	C:/My%20Web%20Sites/MoonTest/kuon.space/assets/img/tech.svg	(from https://kuon.space/about.html)
09:57:56	8478/8478	---MCZ	200	added ('OK')	image/svg+xml	etag:%22a3c45b84d375a49e4b650f44c069907d-ssl-df%22	https://kuon.space/assets/img/book-open.svg	C:/My%20Web%20Sites/MoonTest/kuon.space/assets/img/book-open.svg	(from https://kuon.space/about.html)
09:57:57	2220/2220	---MCZ	200	added ('OK')	image/svg+xml	etag:%22e360149db525fbad7057c39ceb016683-ssl-df%22	https://kuon.space/assets/img/ai.svg	C:/My%20Web%20Sites/MoonTest/kuon.space/assets/img/ai.svg	(from https://kuon.space/about.html)
09:57:58	1124/1124	---M-Z	200	added ('OK')	image/svg+xml	etag:%22d9c6f3d912cbbe92317daf6ab0202088-ssl-df%22	https://kuon.space/assets/img/sketch.svg	C:/My%20Web%20Sites/MoonTest/kuon.space/assets/img/sketch.svg	(from https://kuon.space/about.html)
09:57:59	1051/1051	---M-Z	200	added ('OK')	image/svg+xml	etag:%22e7024f6998489b33e70930b8c7d448f3-ssl-df%22	https://kuon.space/assets/img/abstract.svg	C:/My%20Web%20Sites/MoonTest/kuon.space/assets/img/abstract.svg	(from https://kuon.space/about.html)
09:58:00	3341/3341	---M-Z	200	added ('OK')	image/svg+xml	etag:%22eddad946a40b51451f5146878aa01756-ssl-df%22	https://kuon.space/assets/img/ps.svg	C:/My%20Web%20Sites/MoonTest/kuon.space/assets/img/ps.svg	(from https://kuon.space/about.html)
09:58:02	6472/6472	---M--	200	added ('OK')	image/png	etag:%229b120172cae55e915900c80f556f8563-ssl%22	https://kuon.space/assets/img/flinto.png	C:/My%20Web%20Sites/MoonTest/kuon.space/assets/img/flinto.png	(from https://kuon.space/about.html)
09:58:03	3641/3641	---MCZ	200	added ('OK')	image/svg+xml	etag:%2259ceb2e3806b443d4b67ce7a067c713f-ssl-df%22	https://kuon.space/assets/img/html.svg	C:/My%20Web%20Sites/MoonTest/kuon.space/assets/img/html.svg	(from https://kuon.space/about.html)
09:58:04	4955/4955	---MCZ	200	added ('OK')	image/svg+xml	etag:%22225cc5c442df1a19e44407f5e8251f91-ssl-df%22	https://kuon.space/assets/img/pug.svg	C:/My%20Web%20Sites/MoonTest/kuon.space/assets/img/pug.svg	(from https://kuon.space/about.html)
09:58:05	2643/2643	---M-Z	200	added ('OK')	image/svg+xml	etag:%22f44296bbe5d1ccb07e2e5c32e80ec258-ssl-df%22	https://kuon.space/assets/img/wp.svg	C:/My%20Web%20Sites/MoonTest/kuon.space/assets/img/wp.svg	(from https://kuon.space/about.html)
09:58:06	7583/7583	---MCZ	200	added ('OK')	image/svg+xml	etag:%22b47395e5af62c2330427b226c6c74317-ssl-df%22	https://kuon.space/assets/img/sass.svg	C:/My%20Web%20Sites/MoonTest/kuon.space/assets/img/sass.svg	(from https://kuon.space/about.html)
09:58:07	1520/1520	---M-Z	200	added ('OK')	image/svg+xml	etag:%2243b850579f214c3d6ad73163edc9c9a2-ssl-df%22	https://kuon.space/assets/img/js.svg	C:/My%20Web%20Sites/MoonTest/kuon.space/assets/img/js.svg	(from https://kuon.space/about.html)
